cID,dID,sID,headID,startTime,endTime,ip_len
0132,0132A,01A,01320037700A,3.77,4.838,5
0132,0132A,01A,01320098430A,9.843,10.31,2
0132,0132A,01A,01321502800A,150.28,150.914,3
0132,0132A,01A,01323086680A,308.668,309.236,5
0132,0132A,01A,01323934180A,393.418,393.652,3
0132,0132B,01B,01320142470B,14.247,15.448,2
0132,0132B,01B,01320158480B,15.848,16.983,2
0132,0132B,01B,01320186180B,18.618,18.985,1
0132,0132B,01B,01320281600B,28.16,29.895,6
0132,0132B,01B,01320330320B,33.032,37.169,26
0132,0132B,01B,01320615600B,61.56,61.76,2
0132,0132B,01B,01320694010B,69.401,69.801,1
0132,0132B,01B,01320720370B,72.037,72.838,3
0132,0132B,01B,01320769080B,76.908,78.076,5
0132,0132B,01B,01320998310B,99.831,100.998,5
0132,0132B,01B,01321632260B,163.226,165.361,7
0132,0132B,01B,01321699330B,169.933,173.87,13
0132,0132B,01B,01323150410B,315.041,317.444,8
0132,0132B,01B,01323268860B,326.886,329.222,7
0132,0132B,01B,01323935180B,393.518,394.753,5
0132,0132B,01B,01324272180B,427.218,428.085,3
0132,0132B,01B,01324313890B,431.389,433.524,8
0132,0132B,01B,01324619180B,461.918,462.519,2
0132,0132B,01B,01324808370B,480.837,483.206,7
0132,0132B,01B,01324900130B,490.013,493.416,20
0132,0132B,01B,01324951510B,495.151,497.22,12
0132,0132B,01B,01325064620B,506.462,509.065,14
0132,0132B,01B,01325185070B,518.507,519.575,6
0132,0132B,01B,01325516060B,551.606,553.341,5
0132,0132C,01C,01320952930C,95.293,96.661,8
0132,0132C,01C,01321207510C,120.751,121.785,6
0132,0132C,01C,01321245550C,124.555,125.222,5
0132,0132C,01C,01321266570C,126.657,127.224,3
0132,0132C,01C,01321380350C,138.035,138.635,2
0132,0132C,01C,01321868490C,186.849,187.516,3
0132,0132C,01C,01321911530C,191.153,191.52,2
0132,0132C,01C,01321938230C,193.823,194.29,2
0132,0132C,01C,01322026980C,202.698,208.837,30
0132,0132C,01C,01322108730C,210.873,212.241,9
0132,0132C,01C,01322319930C,231.993,232.494,3
0132,0132C,01C,01322346630C,234.663,235.063,3
0132,0132C,01C,01322389000C,238.9,239.501,4
0132,0132C,01C,01322450390C,245.039,246.007,5
0132,0132C,01C,01322483760C,248.376,248.61,2
0132,0132C,01C,01322532140C,253.214,258.019,28
0132,0132C,01C,01322590200C,259.02,260.288,8
0132,0132C,01C,01322647250C,264.725,265.66,6
0132,0132C,01C,01322772040C,277.204,277.538,2
0132,0132C,01C,01322821760C,282.176,282.776,4
0132,0132C,01C,01323204130C,320.413,321.681,2
0132,0132C,01C,01323250180C,325.018,325.952,4
0132,0132C,01C,01323273010C,327.301,328.086,3
0132,0132C,01C,01323287210C,328.721,329.455,4
0132,0132C,01C,01323332260C,333.226,333.693,2
0132,0132C,01C,01323418680C,341.868,342.268,2
0132,0132C,01C,01323460050C,346.005,346.439,2
0132,0132C,01C,01323501760C,350.176,350.943,4
0132,0132C,01C,01323545470C,354.547,356.282,11
0132,0132C,01C,01323574500C,357.45,357.917,3
0132,0132C,01C,01323587510C,358.751,359.084,2
0132,0132C,01C,01323640560C,364.056,364.623,4
0132,0132C,01C,01323869780C,386.978,387.212,1
